,wind NO1+NO2 (MWh),wind NO1+NO2 (MWh),wind NO1+NO2 (MWh),wind NO1+NO2 (MWh),wind NO1+NO2 (MWh),wind NO1+NO2 (MWh),wind NO1+NO2 (MWh),wind NO1 (MWh),wind NO1 (MWh),wind NO1 (MWh),wind NO1 (MWh),wind NO1 (MWh),wind NO1 (MWh),wind NO2 (MWh),wind NO2 (MWh),wind NO2 (MWh),wind NO2 (MWh),wind NO2 (MWh),wind NO2 (MWh),water reservoir NO1+NO2+NO5 (MWh),water reservoir NO1+NO2+NO5 (MWh),water reservoir NO1+NO2+NO5 (MWh),water reservoir NO1+NO2+NO5 (MWh),water reservoir NO1+NO2+NO5 (MWh),water reservoir NO1+NO2+NO5 (MWh),water reservoir NO1+NO2+NO5 (MWh),water reservoir NO1 (MWh),water reservoir NO1 (MWh),water reservoir NO1 (MWh),water reservoir NO1 (MWh),water reservoir NO1 (MWh),water reservoir NO1 (MWh),water reservoir NO2 (MWh),water reservoir NO2 (MWh),water reservoir NO2 (MWh),water reservoir NO2 (MWh),water reservoir NO2 (MWh),water reservoir NO2 (MWh),water reservoir NO5 (MWh),water reservoir NO5 (MWh),water reservoir NO5 (MWh),water reservoir NO5 (MWh),water reservoir NO5 (MWh),water reservoir NO5 (MWh),run of river NO1+NO2+NO5 (MWh),run of river NO1+NO2+NO5 (MWh),run of river NO1+NO2+NO5 (MWh),run of river NO1+NO2+NO5 (MWh),run of river NO1+NO2+NO5 (MWh),run of river NO1+NO2+NO5 (MWh),run of river NO1+NO2+NO5 (MWh),run of river NO1 (MWh),run of river NO1 (MWh),run of river NO1 (MWh),run of river NO1 (MWh),run of river NO1 (MWh),run of river NO1 (MWh),run of river NO2 (MWh),run of river NO2 (MWh),run of river NO2 (MWh),run of river NO2 (MWh),run of river NO2 (MWh),run of river NO2 (MWh),run of river NO5 (MWh),run of river NO5 (MWh),run of river NO5 (MWh),run of river NO5 (MWh),run of river NO5 (MWh),run of river NO5 (MWh),demand NO1+NO2+NO3 (MWh),demand NO1+NO2+NO3 (MWh),demand NO1+NO2+NO3 (MWh),demand NO1+NO2+NO3 (MWh),demand NO1+NO2+NO3 (MWh),demand NO1+NO2+NO3 (MWh),demand NO1+NO2+NO3 (MWh),demand NO1+NO2+NO3 (MWh),demand NO1 (MWh),demand NO1 (MWh),demand NO1 (MWh),demand NO1 (MWh),demand NO1 (MWh),demand NO1 (MWh),demand NO1 (MWh),demand NO2 (MWh),demand NO2 (MWh),demand NO2 (MWh),demand NO2 (MWh),demand NO2 (MWh),demand NO2 (MWh),demand NO2 (MWh),demand NO5 (MWh),demand NO5 (MWh),demand NO5 (MWh),demand NO5 (MWh),demand NO5 (MWh),demand NO5 (MWh),demand NO5 (MWh),PV average,PV average,PV average,PV average,PV average,PV average,PV average,PV average,PV Oslo,PV Oslo,PV Oslo,PV Oslo,PV Oslo,PV Oslo,PV Kristiansand,PV Kristiansand,PV Kristiansand,PV Kristiansand,PV Kristiansand,PV Kristiansand,PV Bergen,PV Bergen,PV Bergen,PV Bergen,PV Bergen,PV Bergen,PV Wilster (DE),PV Wilster (DE),PV Wilster (DE),PV Wilster (DE),PV Wilster (DE),PV Wilster (DE),PV Eemshaven (NL),PV Eemshaven (NL),PV Eemshaven (NL),PV Eemshaven (NL),PV Eemshaven (NL),PV Eemshaven (NL),PV Blyth (UK),PV Blyth (UK),PV Blyth (UK),PV Blyth (UK),PV Blyth (UK),PV Blyth (UK),PV Tjele (DK),PV Tjele (DK),PV Tjele (DK),PV Tjele (DK),PV Tjele (DK),PV Tjele (DK),Historical water reservoir NO1+NO2+NO5 TWh,Historical water reservoir NO1+NO2+NO5 TWh,Historical water reservoir NO1+NO2+NO5 TWh,Historical water reservoir NO1+NO2+NO5 TWh,Historical water reservoir NO1 TWh,Historical water reservoir NO1 TWh,Historical water reservoir NO1 TWh,Historical water reservoir NO1 TWh,Historical water reservoir NO2 TWh,Historical water reservoir NO2 TWh,Historical water reservoir NO2 TWh,Historical water reservoir NO2 TWh,Historical water reservoir NO5 TWh,Historical water reservoir NO5 TWh,Historical water reservoir NO5 TWh,Historical water reservoir NO5 TWh,Price NO1 euro per MWh,Price NO1 euro per MWh,Price NO1 euro per MWh,Price NO1 euro per MWh,Price NO1 euro per MWh,Price NO1 euro per MWh,Price NO1 euro per MWh,Price NO2 euro per MWh,Price NO2 euro per MWh,Price NO2 euro per MWh,Price NO2 euro per MWh,Price NO2 euro per MWh,Price NO2 euro per MWh,Price NO2 euro per MWh,Price NO5 euro per MWh,Price NO5 euro per MWh,Price NO5 euro per MWh,Price NO5 euro per MWh,Price NO5 euro per MWh,Price NO5 euro per MWh,Price NO5 euro per MWh
,2015,2016,2017,2018,2019,2020,Average,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,Average,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,Average,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2021,Average,2015,2016,2017,2018,2019,2020,2021,2015,2016,2017,2018,2019,2020,2021,2015,2016,2017,2018,2019,2020,2021,Oslo,Bergen,Kristiansand,Wilster (DE),Eemshaven (NL),Blyth (UK),Tjele (DK),Average Norway,2016,2017,2018,2019,2020,Average,2016,2017,2018,2019,2020,Average,2016,2017,2018,2019,2020,Average,2016,2017,2018,2019,2020,Average,2016,2017,2018,2019,2020,Average,2016,2017,2018,2019,2020,Average,2016,2017,2018,2019,2020,Average,Minimum,Maximum,Mean,Theroretical max capacity,Minimum,Maximum,Mean,Theroretical max capacity,Minimum,Maximum,Mean,Theroretical max capacity,Minimum,Maximum,Mean,Theroretical max capacity,2015,2016,2017,2018,2019,2020,2021,2015,2016,2017,2018,2019,2020,2021,2015,2016,2017,2018,2019,2020,2021
0,4305.0,1845.0,2218.0,6445.0,12636.0,12535.0,6664.000000000002,0.0,0.0,0.0,0.0,0.0,3578.0,4305.0,1845.0,2218.0,6445.0,12636.0,8957.0,203780.0,295116.0,224166.0,208567.0,185188.0,188523.0,217556.66666666666,28611.0,23084.0,22518.0,21450.0,25342.0,26193.0,105608.0,188969.0,120262.0,129816.0,90141.0,93116.0,69561.0,83063.0,81386.0,57301.0,69705.0,69214.0,27626.0,28823.0,21973.0,21990.0,18422.0,26138.0,24162.0,20097.0,20051.0,14889.0,16189.0,11767.0,17572.0,6441.0,7244.0,5814.0,5296.0,5701.0,7336.0,1088.0,1528.0,1270.0,505.0,954.0,1230.0,272142.0,278111.0,261351.0,281856.0,275127.0,271032.0,300224.0,277120.4285714286,118028.0,117510.0,112826.0,120553.0,114895.0,115568.0,124371.0,103145.0,103868.0,100673.0,109822.0,113284.0,106320.0,119601.0,50969.0,56733.0,47852.0,51481.0,46948.0,49144.0,56252.0,0.1738,0.1052,0.5137999999999999,0.43,0.769,0.8695999999999999,0.2888,0.26426666666666665,0.024,0.296,0.007,0.407,0.135,0.1738,0.304,1.3139999999999998,0.16000000000000003,0.6859999999999999,0.10500000000000001,0.5137999999999999,0.262,0.217,0.018,0.024,0.005,0.1052,0.221,0.128,0.466,0.8160000000000001,0.519,0.43,1.193,0.11699999999999999,0.649,0.932,0.954,0.769,0.31599999999999995,0.888,0.794,1.8819999999999997,0.46799999999999997,0.8695999999999999,0.139,0.17400000000000002,0.084,0.6839999999999999,0.363,0.2888,23.6,47.099999999999994,39.5,57.3,2.5,4.6,3.7,6.0,13.6,29.2,24.3,33.9,7.5,13.3,11.5,17.4,653.6299999999999,398.86,697.5,624.9500000000002,1169.8700000000001,742.47,626.3900000000001,653.6299999999999,398.86,697.46,624.9500000000002,1169.8700000000001,742.47,626.3900000000001,653.6299999999999,398.86,697.46,624.9500000000002,1169.8700000000001,742.47,626.3900000000001
1,5601.0,4480.0,1111.0,2376.0,5791.0,16488.0,5974.5,0.0,0.0,0.0,0.0,0.0,3814.0,5601.0,4480.0,1111.0,2376.0,5791.0,12674.0,224116.0,266869.0,327815.0,311779.0,242580.0,180029.0,258864.66666666663,28699.0,20027.0,32671.0,31710.0,29453.0,25367.0,119584.0,166364.0,180182.0,177322.0,131920.0,93490.0,75833.0,80478.0,114962.0,102747.0,81207.0,61172.0,28167.0,28882.0,24159.0,24049.0,18864.0,25317.0,24906.333333333336,19648.0,20282.0,16884.0,17958.0,11705.0,17472.0,6829.0,7253.0,6276.0,5484.0,6326.0,6737.0,1690.0,1347.0,999.0,607.0,833.0,1108.0,278647.0,298016.0,310087.0,305741.0,309932.0,280986.0,301454.0,297837.5714285714,117279.0,127690.0,139460.0,133593.0,134030.0,120827.0,124311.0,107608.0,111000.0,117470.0,117158.0,122099.0,110274.0,120585.0,53760.0,59326.0,53157.0,54990.0,53803.0,49885.0,56558.0,0.5296000000000001,0.0834,0.5134,0.8782,0.8242,0.4800000000000001,0.8537999999999999,0.37546666666666667,0.15500000000000003,0.605,0.9910000000000001,0.862,0.035,0.5296000000000001,0.17500000000000002,0.23399999999999999,0.5830000000000001,1.504,0.07100000000000001,0.5134,0.095,0.08099999999999999,0.06199999999999999,0.164,0.015000000000000001,0.0834,0.338,0.824,0.461,2.368,0.4,0.8782,0.28200000000000003,0.309,0.869,2.36,0.30100000000000005,0.8242,0.032,1.11,0.193,0.793,0.272,0.4800000000000001,0.667,1.1929999999999998,0.6699999999999999,1.695,0.044000000000000004,0.8537999999999999,23.6,47.099999999999994,39.5,57.3,2.5,4.6,3.7,6.0,13.6,29.2,24.3,33.9,7.5,13.3,11.5,17.4,661.1200000000001,374.7699999999999,802.95,763.0100000000001,1223.5,739.7400000000001,644.35,661.1200000000001,369.53999999999996,742.59,763.0100000000001,1223.5,739.7400000000001,644.35,661.1200000000001,374.7699999999999,742.59,763.0100000000001,1223.5,739.7400000000001,644.35
2,3956.0,4274.0,4047.0,7261.0,4089.0,20377.0,7334.0,0.0,0.0,0.0,0.0,0.0,3609.0,3956.0,4274.0,4047.0,7261.0,4089.0,16768.0,255325.0,299776.0,300362.0,305243.0,311711.0,183852.0,276044.8333333334,28766.0,28173.0,32007.0,31254.0,37267.0,25191.0,135476.0,176693.0,161482.0,174548.0,163041.0,93331.0,91083.0,94910.0,106873.0,99441.0,111403.0,65330.0,29103.0,28767.0,26379.0,25463.0,18634.0,25641.0,25664.500000000004,19893.0,20072.0,18400.0,19418.0,11483.0,16740.0,7317.0,7603.0,7119.0,5505.0,6413.0,7583.0,1893.0,1092.0,860.0,540.0,738.0,1318.0,283074.0,319236.0,311844.0,316734.0,314066.0,283553.0,308123.0,305232.85714285716,118654.0,139146.0,142168.0,142518.0,133438.0,118975.0,130760.0,109542.0,117681.0,116826.0,119714.0,125611.0,112692.0,120911.0,54878.0,62409.0,52850.0,54502.0,55017.0,51886.0,56452.0,0.33060000000000006,0.28439999999999993,0.5132,0.5370000000000001,0.23800000000000004,0.8393999999999998,0.6346,0.3760666666666666,0.36900000000000005,0.128,0.022000000000000002,0.538,0.5960000000000001,0.33060000000000006,0.25099999999999995,0.32799999999999996,0.035,1.1589999999999998,0.7930000000000001,0.5132,1.1169999999999998,0.10300000000000002,0.109,0.046,0.047,0.28439999999999993,1.0400000000000003,0.063,0.49,1.03,0.062000000000000006,0.5370000000000001,0.117,0.10300000000000001,0.112,0.783,0.07500000000000001,0.23800000000000004,0.092,0.318,0.48700000000000004,1.9109999999999998,1.389,0.8393999999999998,1.614,0.047999999999999994,0.046,0.968,0.49700000000000005,0.6346,23.6,47.099999999999994,39.5,57.3,2.5,4.6,3.7,6.0,13.6,29.2,24.3,33.9,7.5,13.3,11.5,17.4,652.51,407.0,785.7600000000001,690.5099999999999,1369.3799999999999,700.98,618.7599999999999,652.4300000000001,385.21,726.3199999999998,679.6899999999998,1369.3799999999999,700.98,618.7599999999999,652.51,407.0,740.3100000000001,690.5099999999999,1291.54,700.98,618.7599999999999
3,2062.0,3733.0,3710.0,1225.0,10228.0,15977.0,6155.833333333334,0.0,0.0,0.0,0.0,0.0,3486.0,2062.0,3733.0,3710.0,1225.0,10228.0,12491.0,287727.0,353350.0,290428.0,333708.0,242682.0,185552.0,282241.1666666666,31739.0,33466.0,30592.0,33390.0,28980.0,22919.0,150187.0,202456.0,156383.0,183797.0,133023.0,91196.0,105801.0,117428.0,103453.0,116521.0,80679.0,71437.0,27717.0,28959.0,26408.0,26183.0,18007.0,24170.0,25240.666666666664,19023.0,20063.0,18614.0,20253.0,11465.0,16020.0,7196.0,7942.0,7103.0,5431.0,5908.0,7086.0,1498.0,954.0,691.0,499.0,634.0,1064.0,292654.0,353256.0,319606.0,311729.0,293917.0,288776.0,350502.0,315777.14285714284,125277.0,155833.0,146243.0,136963.0,127010.0,122127.0,154381.0,111611.0,128511.0,118650.0,119494.0,116507.0,114000.0,132901.0,55766.0,68912.0,54713.0,55272.0,50400.0,52649.0,63220.0,0.3176,0.37579999999999997,0.7265999999999999,0.5514,0.269,0.5861999999999999,1.0257999999999998,0.47333333333333333,0.257,0.321,0.05499999999999999,0.40299999999999997,0.552,0.3176,0.326,1.632,0.14,0.287,1.248,0.7265999999999999,1.2009999999999998,0.19199999999999998,0.211,0.0,0.275,0.37579999999999997,0.754,0.724,0.451,0.16899999999999998,0.659,0.5514,0.212,0.27,0.37600000000000006,0.225,0.262,0.269,0.078,1.6909999999999998,0.12000000000000001,0.339,0.7030000000000001,0.5861999999999999,1.96,1.067,0.29300000000000004,0.5,1.309,1.0257999999999998,23.6,47.099999999999994,39.5,57.3,2.5,4.6,3.7,6.0,13.6,29.2,24.3,33.9,7.5,13.3,11.5,17.4,674.3799999999999,457.51,742.0799999999999,767.2999999999998,1226.0,693.11,998.6600000000002,673.8499999999999,445.64,718.8600000000001,767.2999999999998,1226.0,693.11,998.6600000000002,674.3799999999999,448.83000000000004,724.85,767.2999999999998,1226.0,693.11,998.6600000000002
4,1847.0,3441.0,1533.0,345.0,5333.0,10670.0,3861.5000000000005,0.0,0.0,0.0,0.0,0.0,2394.0,1847.0,3441.0,1533.0,345.0,5333.0,8276.0,368635.0,385948.0,370948.0,324633.0,251337.0,237849.0,323225.0,37214.0,35048.0,36976.0,34260.0,32388.0,33590.0,193582.0,213757.0,201896.0,181737.0,139723.0,112870.0,137839.0,137143.0,132076.0,108636.0,79226.0,91389.0,27320.0,29415.0,26697.0,25829.0,17764.0,23722.0,25124.499999999996,18781.0,20717.0,19116.0,20307.0,11286.0,16090.0,7367.0,7944.0,6877.0,5072.0,5684.0,6571.0,1172.0,754.0,704.0,450.0,794.0,1061.0,317231.0,362968.0,352751.0,316447.0,272587.0,287024.0,362725.0,324533.28571428574,140124.0,161847.0,164697.0,138418.0,117416.0,123952.0,161478.0,118796.0,131005.0,128937.0,121640.0,107875.0,111280.0,137096.0,58311.0,70116.0,59117.0,56389.0,47296.0,51792.0,64151.0,0.6756000000000001,0.3846,0.5509999999999999,0.6035999999999999,0.5536000000000001,0.5664,0.7786000000000001,0.5370666666666667,0.5950000000000001,1.399,0.39,0.9670000000000001,0.027,0.6756000000000001,0.30300000000000005,1.8889999999999998,0.179,0.365,0.019000000000000003,0.5509999999999999,1.094,0.485,0.305,0.028,0.011,0.3846,0.399,1.7169999999999999,0.253,0.40800000000000003,0.241,0.6035999999999999,0.079,1.711,0.34800000000000003,0.075,0.555,0.5536000000000001,0.054,1.27,0.23799999999999996,0.7609999999999999,0.509,0.5664,0.762,1.534,0.384,1.1480000000000001,0.065,0.7786000000000001,23.6,47.099999999999994,39.5,57.3,2.5,4.6,3.7,6.0,13.6,29.2,24.3,33.9,7.5,13.3,11.5,17.4,838.4199999999998,508.36,1043.25,748.2,1217.3700000000001,736.73,1104.37,838.4199999999998,474.3799999999999,786.2700000000001,748.2,1217.3700000000001,736.73,1104.37,747.3899999999998,474.3799999999999,773.8,748.2,1217.3700000000001,736.73,1104.37
5,3643.0,2827.0,4291.0,1211.0,3679.0,12290.0,4656.833333333332,0.0,0.0,0.0,0.0,0.0,2689.0,3643.0,2827.0,4291.0,1211.0,3679.0,9601.0,363238.0,402332.0,345626.0,315826.0,261922.0,243810.0,322125.6666666667,36672.0,35544.0,35509.0,31538.0,33487.0,33099.0,197788.0,216056.0,185930.0,181500.0,150067.0,123576.0,128778.0,150732.0,124187.0,102788.0,78368.0,87135.0,27794.0,29565.0,26422.0,26390.0,17882.0,25049.0,25517.0,18950.0,20990.0,18986.0,21008.0,11412.0,16953.0,7648.0,7823.0,6862.0,4945.0,5635.0,6924.0,1196.0,752.0,574.0,437.0,835.0,1172.0,303960.0,375789.0,344361.0,313792.0,279878.0,290304.0,376837.0,326417.28571428574,133776.0,170854.0,161066.0,137737.0,121643.0,126813.0,169391.0,114420.0,133300.0,125846.0,120675.0,111217.0,113121.0,142605.0,55764.0,71635.0,57449.0,55380.0,47018.0,50370.0,64841.0,0.4062,0.3124,0.33940000000000003,0.9269999999999999,0.8364,0.524,0.5254,0.3526666666666667,0.512,0.08800000000000001,0.7389999999999999,0.5780000000000001,0.114,0.4062,0.261,0.034,1.178,0.21,0.014000000000000002,0.33940000000000003,0.991,0.021000000000000005,0.536,0.006,0.008,0.3124,1.992,1.914,0.10600000000000001,0.11,0.513,0.9269999999999999,0.746,2.208,0.28300000000000003,0.216,0.729,0.8364,0.188,0.25,1.2539999999999998,0.508,0.42000000000000004,0.524,0.4619999999999999,1.012,1.033,0.07,0.05,0.5254,23.6,47.099999999999994,39.5,57.3,2.5,4.6,3.7,6.0,13.6,29.2,24.3,33.9,7.5,13.3,11.5,17.4,696.0300000000002,688.6800000000001,771.7900000000002,745.8399999999999,1228.1299999999999,730.3900000000001,985.4499999999998,696.0300000000002,618.12,745.2199999999999,745.8399999999999,1228.1299999999999,730.3900000000001,985.4499999999998,696.0300000000002,618.12,747.51,745.8399999999999,1228.1299999999999,730.3900000000001,985.4499999999998
6,3440.0,3736.0,1576.0,4171.0,6099.0,13392.0,5402.333333333334,0.0,0.0,0.0,0.0,0.0,3121.0,3440.0,3736.0,1576.0,4171.0,6099.0,10271.0,348367.0,400830.0,295343.0,263047.0,287352.0,228788.0,303954.50000000006,35906.0,37209.0,31062.0,25738.0,35362.0,30833.0,185892.0,211690.0,160298.0,154468.0,162854.0,118302.0,126569.0,151931.0,103983.0,82841.0,89136.0,79653.0,28079.0,28601.0,25405.0,26029.0,18368.0,27057.0,25589.833333333332,18730.0,20188.0,17850.0,20815.0,11554.0,17612.0,8206.0,7616.0,6933.0,4825.0,6015.0,8150.0,1143.0,797.0,622.0,389.0,799.0,1295.0,300097.0,381860.0,297900.0,320473.0,311862.0,287651.0,369137.0,324140.0,128942.0,173371.0,134393.0,143983.0,136055.0,122345.0,162986.0,114743.0,136184.0,111729.0,120919.0,123193.0,114374.0,141508.0,56412.0,72305.0,51778.0,55571.0,52614.0,50932.0,64643.0,0.35200000000000004,0.297,0.6028,0.8054,1.0054,0.39,0.7040000000000001,0.4172666666666667,0.389,1.0710000000000002,0.172,0.046,0.082,0.35200000000000004,0.21,0.859,1.6389999999999998,0.07300000000000001,0.233,0.6028,1.1179999999999999,0.27699999999999997,0.022000000000000002,0.012,0.05600000000000001,0.297,0.748,0.049,2.797,0.16300000000000003,0.27,0.8054,0.34500000000000003,0.013999999999999999,3.137,0.047,1.484,1.0054,0.075,0.19,1.3530000000000002,0.226,0.10600000000000001,0.39,0.6310000000000001,0.167,2.128,0.327,0.267,0.7040000000000001,23.6,47.099999999999994,39.5,57.3,2.5,4.6,3.7,6.0,13.6,29.2,24.3,33.9,7.5,13.3,11.5,17.4,694.5999999999999,1155.8899999999999,746.29,685.5400000000001,1249.2699999999998,710.4799999999999,1617.89,694.5999999999999,575.6200000000001,723.28,685.5400000000001,1248.3899999999996,710.4799999999999,1617.89,694.5999999999999,575.6200000000001,723.28,685.5400000000001,1249.2699999999998,710.4799999999999,1617.89
7,3594.0,2678.0,1309.0,1588.0,10593.0,19814.0,6595.999999999999,0.0,0.0,0.0,0.0,0.0,3716.0,3594.0,2678.0,1309.0,1588.0,10593.0,16098.0,319976.0,380708.0,322397.0,307716.0,226543.0,192323.0,291610.5,34538.0,35140.0,30463.0,33439.0,27168.0,26111.0,176497.0,202270.0,176433.0,172707.0,131363.0,100359.0,108941.0,143298.0,115501.0,101570.0,68012.0,65853.0,28915.0,28384.0,24937.0,27358.0,19213.0,27906.0,26118.83333333333,18915.0,20061.0,17990.0,21425.0,11356.0,17784.0,8491.0,7617.0,6425.0,5604.0,6923.0,8726.0,1509.0,706.0,522.0,329.0,934.0,1396.0,293723.0,374452.0,298787.0,328771.0,309065.0,280092.0,361129.0,320859.85714285716,125094.0,168387.0,135479.0,149331.0,134996.0,116274.0,158202.0,113331.0,134259.0,112473.0,125387.0,121212.0,112550.0,139164.0,55298.0,71806.0,50835.0,54053.0,52857.0,51268.0,63763.0,0.5082000000000001,0.21740000000000004,0.6293999999999998,0.9748000000000001,1.1534,1.1432,0.8218,0.45166666666666666,0.181,0.462,1.193,0.09400000000000001,0.611,0.5082000000000001,0.268,0.332,1.351,0.477,0.719,0.6293999999999998,0.6890000000000001,0.007,0.09199999999999998,0.265,0.034,0.21740000000000004,0.3,0.626,2.999,0.669,0.28,0.9748000000000001,0.701,0.742,3.188,0.622,0.514,1.1534,0.14300000000000002,0.32000000000000006,2.5519999999999996,1.96,0.7410000000000001,1.1432,0.098,0.26,2.0349999999999997,0.726,0.9900000000000001,0.8218,21.799999999999997,44.900000000000006,38.8,57.3,2.3,4.2,3.4,6.0,12.6,28.0,24.3,33.9,6.9,12.7,11.1,17.4,651.96,711.4100000000001,741.8100000000001,778.56,1191.04,640.9699999999999,1838.94,651.96,645.4300000000001,739.03,778.56,1191.04,640.9699999999999,1838.94,651.96,647.6600000000001,739.03,778.56,1191.04,640.9699999999999,1838.94
8,4384.0,3688.0,4206.0,9838.0,3539.0,6220.0,5312.500000000002,0.0,0.0,0.0,0.0,0.0,1593.0,4384.0,3688.0,4206.0,9838.0,3539.0,4627.0,313298.0,393512.0,295879.0,314159.0,252743.0,288486.0,309679.5,33963.0,35985.0,28979.0,34266.0,26942.0,29432.0,165840.0,206197.0,160529.0,172395.0,152288.0,161681.0,113495.0,151330.0,106371.0,107498.0,73513.0,97373.0,29006.0,27607.0,26126.0,28161.0,18578.0,28264.0,26290.333333333332,18880.0,19471.0,18557.0,21653.0,11221.0,18682.0,8598.0,7643.0,6926.0,6244.0,6540.0,8092.0,1528.0,493.0,643.0,264.0,817.0,1490.0,311077.0,360254.0,303401.0,336545.0,314076.0,297413.0,345723.0,324069.85714285716,135847.0,160195.0,139530.0,155506.0,135357.0,128546.0,150050.0,117768.0,130029.0,113955.0,125556.0,123481.0,117175.0,134172.0,57462.0,70030.0,49916.0,55483.0,55238.0,51692.0,61501.0,0.38000000000000006,0.37900000000000006,0.4282000000000001,0.6990000000000001,0.7167999999999999,0.3136,0.796,0.39573333333333344,0.10600000000000001,0.139,0.645,0.8820000000000001,0.128,0.38000000000000006,0.104,0.032,0.8830000000000001,1.014,0.108,0.4282000000000001,0.619,0.005,1.0280000000000002,0.183,0.05999999999999999,0.37900000000000006,0.667,0.7020000000000001,0.24399999999999997,1.8139999999999998,0.068,0.6990000000000001,0.404,0.272,0.28400000000000003,2.5229999999999997,0.101,0.7167999999999999,0.055,0.514,0.21600000000000003,0.738,0.045000000000000005,0.3136,0.062,0.16100000000000003,1.7760000000000002,1.939,0.042,0.796,21.799999999999997,44.900000000000006,38.8,57.3,2.3,4.2,3.4,6.0,12.6,28.0,24.3,33.9,6.9,12.7,11.1,17.4,654.2100000000002,585.98,735.7400000000002,729.6199999999999,1211.1700000000003,659.0699999999999,1324.2400000000002,638.59,585.98,732.7700000000002,729.6199999999999,1211.1700000000003,659.0699999999999,1324.2400000000002,654.2100000000002,585.98,732.7700000000002,729.6199999999999,1211.1700000000003,659.0699999999999,1324.2400000000002
